,Model,RAM,Screen,Operating System,Storage,Type Storage,Speed,Price
38,Core i7 11th Generation i7-11800H,16GB ,16 inches ,Windows 11,512GB,SSD,up to 4.6GHz,"298,999 - PKR"
39,Core i7 12th Generation  i7-1250u,16GB  ,15.6 Inch,Windows 11,1 TB,SSD,up to 4.7 GHz,"265,999 - PKR"
40,Intel Core i7 11th Generation,8GB RAM,15.6,Dos,1 TB, HDD,NA,"171,999 - PKR"
41,Core i5 12th Generation  i5-1235U,8GB,15.6 Inch,DOS,512GB ,SSD,NA,"184,999 - PKR"
42,AMD Ryzen 9 6900HX,16GB ,15.6 Inch,DOS,1 TB,SSD,up to 4.9 GHz,"475,000 - PKR"
43,Core i7 12th Generation  i7-1250u,8GB  ,13.3 Inch,Windows 11,512GB ,SSD,up to 4.7 GHz,"185,999 - PKR"
44,8 Core CPU &amp; 8 Core GPU 16 Core Neural Engine 100GB/s Memory Bandwidth,8GB,13.6 Inch,macOS,512GB ,SSD,NA,"349,999 - PKR"
45,8 Core CPU &amp; 8 Core GPU 16 Core Neural Engine 100GB/s Memory Bandwidth,24GB,13.6 Inch,macOS,1 TB,SSD,NA,"549,999 - PKR"
46,8 Core CPU &amp; 8 Core GPU 16 Core Neural Engine 100GB/s Memory Bandwidth,16GB,13.6 Inch,macOS,1 TB,SSD,NA,"504,999 - PKR"
47,Core i7 12th Generation i7-12700H Multi Core Alder Lake Processor,16GB ,16 Inches,Windows 11,512GB ,SSD,3.5 GHz up to 4.7 GHz,"329,999 - PKR"
48,Core i7 12th Generation i7-12650H,16GB ,15.6 Inch,Windows 11,512GB ,SSD,2.3 GHz up to 4.7 GHz,"282,999 - PKR"
49,Core i7 11th Generation 11800H,16GB  ,15.6INCHES,Windows 11,512GB,SSD,up to 4.6 GHz,"245,999 - PKR"
50,Core i9 12th Generation  i9-12900H,16GB ,16 Inches,Windows 11,1 TB,SSD,up to 5.0 GHz,"599,999 - PKR"
51,Core i3 12th Generation  i3-1215U,4GB,15.6INCHES,DOS,256GB ,SSD,up to 4.4 GHz,"93,999 - PKR"
52,Core i3 11th Generation  i3-1115G4,8GB,15.6INCHES,Windows 10,256GB ,SSD,up to 4.1 GHz,"103,499 - PKR"
53,Core i5 12th Generation  i5-1235u,8GB  ,15.6 Inch,Windows 11,256GB ,SSD,up to 4.4 GHz,"168,999 - PKR"
54,Core i7 12th Generation  i7-1255U,8GB,15.6 Inch,DOS,512GB ,SSD,up to 4.7 GHz,"162,999 - PKR"
55,Core i7 12th Generation  i7-1255U,8GB,15.6 Inch,DOS,512GB ,SSD,up to 4.7 GHz,"151,999 - PKR"
56,Core i5 11th Generation  i5 11300H,8GB ,14 Inch,Windows 11,512GB ,SSD,3.1 GHz up to 4.4 GHz,"226,999 - PKR"
57,Core i7 11th Generation  i7 11370H,16GB ,14 Inch,Windows 11,512GB ,SSD,3.3 GHz up to 4.8 GHz,"267,999 - PKR"
58,Core i7 11th Generation 11800H,16GB  ,15.6INCHES,Windows 11,1 TB,SSD,up to 4.6 GHz,"374,999 - PKR"
59,Core i7 12th Generation  i7-1255U,16 GB,15.6 Inch,Windows 11,256GB ,SSD,up to 4.7 GHz,"176,999 - PKR"
60,AMD Ryzen 5  5625U,8GB  ,15.6 Inch,Windows 11,256GB ,SSD,up to 4.3 GHz,"152,999 - PKR"
61,8 Core CPU &amp; 10 Core GPU 16 Core Neural Engine 100GB/s Memory Bandwidth,16GB,13.3 Inch,macOS,2TB,SSD,NA,"586,999 - PKR"
62,8 Core CPU &amp; 10 Core GPU 16 Core Neural Engine 100GB/s Memory Bandwidth,16GB,13.3 Inch,macOS,512GB,SSD,NA,"425,999 - PKR"
63,Core i5 11th Generation i5-1135G7 ,8GB,15.6 Inch,Windows 10,512GB ,SSD,up to 4.2 GHz,"162,999 - PKR"
64,Core i5 12th Generation i5-12450H,8GB,15.6 Inch,Windows 11,512GB ,SSD,up to 4.4GHz,"169,999 - PKR"
65,Core i5 12th Generation i5-1235U,8GB,14 Inch,Windows 11,512GB ,SSD,up to 4.4 GHz,"158,999 - PKR"
66,Core i5 12th Generation i5-1235U,8GB,14 INCHES,Windows 11,512GB ,SSD,3.30 GHz up to 4.40 GHz,"179,999 - PKR"
